timestamp,device_id,device_type,src_ip,dst_ip,protocol,source_port,destination_port,packet_rate,byte_rate,packet_size,connection_duration,attack_type,label
2025-11-12 18:49:22,dev_004,IndustrialSensor,10.144.249.128,192.168.1.1,mqtt,39659,502,306,4483,14.65,0.71,normal,Normal
2025-11-12 18:50:17,dev_002,WeatherNode,10.247.115.232,192.168.1.1,coap,39312,5683,160,1042,6.51,5.78,normal,Normal
2025-11-12 18:54:10,dev_006,SmartLight,10.153.168.209,192.168.1.1,mqtt,28672,1883,48,1363,28.4,4.01,normal,Normal
2025-11-12 18:47:29,dev_003,SmartCam,10.115.216.104,192.168.1.1,udp,34645,502,171,6352,37.15,5.77,normal,Normal
2025-11-12 18:55:11,dev_005,WeatherNode,10.88.221.79,192.168.1.1,coap,32011,5683,138,1565,11.34,1.95,normal,Normal
2025-11-12 18:47:25,dev_003,SmartCam,10.115.216.104,192.168.1.1,udp,34643,5683,190,8725,45.92,1.16,normal,Normal
2025-11-12 18:52:40,dev_007,DoorLock,10.237.110.233,192.168.1.1,coap,21980,443,122,2271,18.61,2.15,normal,Normal
2025-11-12 18:52:17,dev_003,SmartCam,10.115.216.104,192.168.1.1,udp,34789,80,183,7075,38.66,5.98,normal,Normal
2025-11-12 18:56:45,dev_017,IndustrialSensor,10.230.78.152,192.168.1.1,udp,26411,502,333,3486,10.47,4.34,normal,Normal
2025-11-12 18:49:28,dev_020,SmartLight,10.108.38.53,192.168.1.1,mqtt,24474,1883,69,417,6.04,0.41,normal,Normal
2025-11-12 18:55:21,dev_016,WeatherNode,10.81.98.5,192.168.1.1,udp,28019,80,48,1130,23.54,3.39,normal,Normal
2025-11-12 18:56:39,dev_008,SmartPlug,10.64.75.170,192.168.1.1,http,27218,443,130,1917,14.75,3.73,normal,Normal
2025-11-12 18:51:10,dev_012,SmartLight,10.82.163.105,192.168.1.1,mqtt,39174,80,367,7981,21.75,23.58,DoS,Attack
2025-11-12 18:54:02,dev_004,IndustrialSensor,10.144.249.128,192.168.1.1,mqtt,39799,1883,352,4085,11.61,1.75,normal,Normal
2025-11-12 18:49:01,dev_016,WeatherNode,10.81.98.5,192.168.1.1,udp,27829,5683,46,885,19.24,4.91,normal,Normal
2025-11-12 18:58:06,dev_006,SmartLight,10.153.168.209,192.168.1.1,mqtt,28790,502,50,1559,31.18,4.61,normal,Normal
2025-11-12 18:57:16,dev_006,SmartLight,10.153.168.209,192.168.1.1,mqtt,28765,502,56,1613,28.8,4.28,normal,Normal
2025-11-12 18:49:40,dev_010,SmartCam,10.34.14.52,192.168.1.1,mqtt,30094,80,427,2883,6.75,4.49,normal,Normal
2025-11-12 18:51:42,dev_020,SmartLight,10.108.38.53,192.168.1.1,http,24541,5683,89,468,5.26,1.83,normal,Normal
2025-11-12 18:46:49,dev_002,WeatherNode,10.247.115.232,192.168.1.1,coap,39208,5683,168,1202,7.15,3.98,normal,Normal
2025-11-12 18:53:30,dev_001,DoorSensor,10.243.163.37,192.168.1.1,coap,27513,443,124,1236,9.97,1.69,normal,Normal
2025-11-12 18:56:03,dev_009,Thermostat,10.121.218.157,192.168.1.1,coap,23341,443,46,1150,25.0,5.01,normal,Normal
